release_order,parameter_group,ogs_entry,base_definition,projection_or_run_definition,release_stage,recommendation,model_quantity_affected,measurement_evidence,identifiability_risk,activation_gate,source_files
1,intrinsic permeability tensor magnitude field,medium property permeability -> parameter k_i / MeshElement field k_i_rd,Constant; 1.00E-19 0.00 0.00 0.40E-19,projection: MeshElement; field_name=k_i_rd; selected run: MeshElement; field_name=k_i_rd,stage_1_active_field,"Fit now as a run-local MeshElement tensor field. The current deterministic candidates multiply the existing four-component tensor by scalar cell factors, preserving tensor symmetry, orientation, and anisotropy ratio while changing magnitude.","Darcy mobility through intrinsic permeability K in v = -(k_rel K / mu) grad p; also controls saturation, theta, RH-response, ERT, Taupe/TDR, and HM state outputs after OGS runs.","Direct pulse-test likelihood is active with 75 objective rows from 204 candidate rows; the current active objective has 2 components and totals 3156.353066948979, with direct objective 269.8180571059851 plus sampled-state objective 2886.535009842994.","Pulse tests are scalar interval-scale constraints on e^T K e, not full tensor observations. Gas/slip interpretation, 3D-to-2D support, and duplicate intervals remain explicit model-error terms.",Already active for inside-mesh positive-k intervals; next gate is OGS-backed state-output plausibility.,ogs_settings/03_parameters_TRM.xml; GESA_model_original/projection_on_mesh_2025-09-05/03_parameters_TRM.xml; inversion_workflow/runs/regularized_ogs_candidate_001_length_0p025m/03_parameters_TRM.xml; inversion_workflow/measurement_likelihood_model.csv
2,"permeability tensor shape: anisotropy ratio, orientation, off-diagonal terms",same k_i_rd tensor components k_xx k_xy k_yx k_yy,Constant; 1.00E-19 0.00 0.00 0.40E-19,MeshElement; field_name=k_i_rd,stage_2_candidate_tensor_shape,Do not release tensor shape in the first fit. Keep the current bedding-parallel tensor geometry and test scalar magnitude fields first; release anisotropy ratio or orientation only after directional permeability/support evidence and OGS state diagnostics justify the extra degrees of freedom.,Directional Darcy response and lateral redistribution of pressure/saturation around the niche.,"Bedding/geometry layers constrain orientation qualitatively; direct pulse-test residuals currently constrain only interval-projected directional permeability. The global anisotropy screen selected anis_theta_144p0_ratio_2p50 with direct delta 0.0, while the local tensor-anisotropy screen best candidate local_anis_isotropize_l0p015_s0p5_r1 has direct delta 0.18992005641422338; this is not enough to release tensor shape before support/likelihood and stream-gate decisions.",A scalar interval value can be fit by many tensor combinations. Releasing angle and anisotropy too early would trade off against support mapping and local magnitude updates.,"Activate only after the direct support/likelihood policy is approved, repeated-support conflicts are resolved or explicitly retained, and OGS-backed state diagnostics show material benefit from tensor-shape degrees of freedom.",GESA_model_original/projection_on_mesh_2025-09-05/03_parameters_TRM.xml; inversion_workflow/runs/regularized_ogs_candidate_001_length_0p025m/03_parameters_TRM.xml; inversion_workflow/processed_observations/borehole_line_mesh_samples.csv
3,porosity support field,medium property porosity -> parameter phi / MeshElement field n_rd,Constant; 0.105,projection: MeshElement; field_name=n_rd; selected run: MeshElement; field_name=n_rd,stage_1_fixed_support_field,"Keep fixed in the first permeability inversion. The projection machinery can read n_rd, but the current field is a fixed porosity support, not an active unknown.","Storage, theta = porosity * liquid_saturation, and effective thermal conductivity.","NMR has 464 candidate water-content rows; the current field samples 83 OGS output times and uses 192 NMR rows in the state objective.  The default NMR policy remains retain_raw_absolute_theta_current_report_default_with_caveats, final policy selected=False, so porosity is still support, not an active unknown.","Porosity trades directly against saturation in theta observations and against permeability in hydraulic response. NMR measures hydrogen-bearing water, not only mobile free water in the Richards saturation variable.","Release as scalar or field only after the final NMR residual policy is approved, ERT/Taupe uncertainty gates are closed or excluded, and a sensitivity audit separates porosity from saturation and bound/interlayer-water effects.",ogs_settings/03_parameters_TRM.xml; GESA_model_original/projection_on_mesh_2025-09-05/03_parameters_TRM.xml; inversion_workflow/runs/regularized_ogs_candidate_001_length_0p025m/03_parameters_TRM.xml; inversion_workflow/measurement_likelihood_model.csv
4,van Genuchten air-entry pressure,property saturation / p_b,SaturationVanGenuchten; p_b=10e6; residual_liquid_saturation=0.1; residual_gas_saturation=0; exponent=0.45,fixed XML property in all prepared runs,stage_2_candidate_scalar,"Treat as a later scalar retention parameter, not as an active first-stage unknown. It should be released only after RH boundary provenance and state-output sampling are settled.","Capillary pressure-saturation relation, storage derivative dS/dp_c, and liquid saturation state.","RH/Kelvin table has 4247 rows and NMR/ERT/Taupe provide theta diagnostics, but RH currently exposes a boundary-curve provenance mismatch rather than a clean retention likelihood; 8 external/provenance blockers remain open.","Strongly correlated with open-niche pressure boundary, permeability, exponent, residual saturation, and porosity.","Confirm or reconstruct 08_08_open_niche_seasonal.xml, select the NMR residual policy, and close or explicitly exclude ERT/Taupe/RH gates before fitting.",ogs_settings/04_2_media_twophase.xml; inversion_workflow/measurement_likelihood_model.csv
5,van Genuchten exponent,properties saturation and relative_permeability / exponent,saturation: SaturationVanGenuchten; exponent=0.45; relative_permeability: RelativePermeabilityVanGenuchten; exponent=0.45,fixed XML property in all prepared runs,stage_2_candidate_scalar,Keep fixed in the first OGS comparison set. Consider a scalar release together with p_b only after retention-sensitive state residuals are active.,"Shape of S(p_c) and k_rel(S), hence drying/wetting response around the open niche.","NMR, ERT, Taupe/TDR, and RH are retention-sensitive, but they are still gated by NMR policy, ERT support/uncertainty, Taupe absolute calibration, and RH boundary-curve provenance.",The exponent is poorly separated from p_b and residual saturation without independent retention or suction data.,"Release only as a paired retention calibration after the p_b, NMR-policy, and RH-provenance gates are satisfied.",ogs_settings/04_2_media_twophase.xml
6,residual saturations,"relative_permeability and saturation / residual_liquid_saturation, residual_gas_saturation",saturation: SaturationVanGenuchten; residual_liquid_saturation=0.1; residual_gas_saturation=0; relative_permeability: RelativePermeabilityVanGenuchten; residual_liquid_saturation=0.1; residual_gas_saturation=0,fixed XML property in all prepared runs,stage_2_fixed_until_retention_data,Keep fixed for current and near-term runs. Residual saturations should not be inferred from the present field data unless independent retention/hysteresis constraints are added.,"Effective saturation, retention curve limits, and relative permeability endpoints.",No active observation currently isolates residual saturation.,"Highly nonlinear and confounded with p_b, exponent, boundary pressure, NMR bound water, and sensor calibration.",Require dedicated retention information or a sensitivity study proving state residuals can distinguish residual saturation.,ogs_settings/04_2_media_twophase.xml
7,relative-permeability numerical floor,relative_permeability / minimum_relative_permeability_liquid,RelativePermeabilityVanGenuchten; minimum_relative_permeability_liquid=1e-25,fixed XML property in all prepared runs,fixed_numerical_control,"Keep fixed. Treat this as a numerical floor, not a physical calibration parameter.",Minimum liquid mobility under very low liquid saturation.,Current experiment evidence does not constrain the numerical lower bound.,Changing it can alter solver behavior and dry-end mobility without clear observability.,Only revisit in a numerical robustness study if very dry cells appear in OGS outputs.,ogs_settings/04_2_media_twophase.xml
8,open-niche pressure boundary curve,parameter open_niche_seasonal / pressure_scaling_factor / open_niche_seasonal_curve,open_niche_seasonal: CurveScaled; curve=open_niche_seasonal_curve; base_parameter=pressure_scaling_factor; pressure_scaling_factor: Constant; 1.0,same boundary parameter copied into prepared runs,blocked_or_confirm_provenance,Do not treat as an ordinary material parameter. Reconstruct the curve from RH/T data or obtain its preprocessing provenance before fitting or scaling it.,Dirichlet pressure boundary on the open niche; drives pressure and saturation transients.,RH audit compares RH-derived Kelvin pressures against the active OGS curve and finds a large mismatch over the overlapping time range.,"Boundary pressure can mimic permeability and retention changes, so fitting it blindly would contaminate material inference.",Confirm how 08_08_open_niche_seasonal.xml was generated; then decide whether to fit only a documented scaling/bias term.,ogs_settings/03_parameters_TRM.xml; ogs_settings/08_08_open_niche_seasonal.xml; inversion_workflow/measurement_likelihood_model.csv
9,orthotropic elasticity,"parameters E, G, nu / LinearElasticOrthotropic",E: Constant; 13.80e+9 6.00e+9 13.80e+9; G: Constant; 4.79e+9 2.46e+9 4.79e+9; nu: Constant; 0.44 0.22 0.44,fixed XML parameters in all prepared permeability runs,stage_3_candidate_mechanical,"Keep fixed for hydraulic calibration. Consider scalar or facies-level mechanical release only after numerical displacement/pressure outputs are compared with levelling, extensometer, piezometer, and scan data.","Stress-displacement response, pore-pressure coupling through volumetric strain, and swelling constraint.",Other HM monitoring is structured as qualitative/secondary validation; key Geoscope and laser-scan numeric exports are still missing.,"The 2D model cannot uniquely explain full 3D deformation, crack, and scan observations; hydraulic changes can also alter pore-pressure-driven strain.","Locate numeric HM time series, sample displacement/pressure OGS outputs, then run sensitivity checks before release.",ogs_settings/03_parameters_TRM.xml; inversion_workflow/processed_observations/other_hm_monitoring.md
10,Biot coupling coefficient,medium property biot_coefficient -> parameter biot,Constant; 1,fixed XML parameter in all prepared permeability runs,stage_3_candidate_mechanical,Keep fixed at 1.0 unless a dedicated poromechanical identifiability study supports release.,Effective stress coupling and pressure-strain coupling in the TRM process.,No active numerical mechanical likelihood is available yet.,"Biot trades against elasticity, storage, initial stress, pressure boundary, and saturation state.",Require active pressure/displacement residuals and mechanical calibration data before fitting.,ogs_settings/03_parameters_TRM.xml; ogs_settings/04_media_TRM.xml
