check_id,group,severity,status,details,evidence
summary_exists,package,required,pass,summary path exists=True,inversion_workflow/current_permeability_field/CURRENT_PERMEABILITY_FIELD_SUMMARY.json
package_status,package,required,pass,status=current_permeability_field_package_generated,inversion_workflow/current_permeability_field/CURRENT_PERMEABILITY_FIELD_SUMMARY.json
markdown_exists,package,required,pass,current field package markdown exists,inversion_workflow/current_permeability_field/CURRENT_PERMEABILITY_FIELD.md
manifest_exists,manifest,required,pass,manifest rows=46,inversion_workflow/current_permeability_field/packaged_file_manifest.csv
manifest_row_count_matches_summary,manifest,required,pass,"csv rows=46, summary rows=46",inversion_workflow/current_permeability_field/packaged_file_manifest.csv; inversion_workflow/current_permeability_field/CURRENT_PERMEABILITY_FIELD_SUMMARY.json
manifest_hashes_verify,manifest,required,pass,all manifest sizes and SHA256 values verify,inversion_workflow/current_permeability_field/packaged_file_manifest.csv
required_packaged_files_present,manifest,required,pass,all required packaged evidence files are present,inversion_workflow/current_permeability_field/packaged_file_manifest.csv
run_input_snapshot_required_files,run_input_snapshot,required,pass,snapshot files=25,inversion_workflow/current_permeability_field/ogs_run_inputs
project_references_resolve,run_input_snapshot,required,pass,project refs=15,inversion_workflow/current_permeability_field/ogs_run_inputs/cd_a_open_niche_quad.prj
nested_includes_resolve,run_input_snapshot,required,pass,all nested include files resolve,inversion_workflow/current_permeability_field/ogs_run_inputs
combined_objective_components_sum,objective,required,pass,component sum=3156.353066948979; total=3156.353066948979,inversion_workflow/current_permeability_field/combined_objective_summary.json
expected_active_components,objective,required,pass,active_component_count=2,inversion_workflow/current_permeability_field/combined_objective_summary.json
direct_residual_rows_match_summary,objective,required,pass,csv used rows=75; component used rows=75,inversion_workflow/current_permeability_field/permeability_fit_evaluation.csv
state_residual_rows_match_summary,objective,required,pass,csv used rows=192; component used rows=192,inversion_workflow/current_permeability_field/state_observation_evaluation.csv
release_gate_passed,release_gate,required,pass,status=pass; failures=0,inversion_workflow/current_permeability_field/INVERSION_RELEASE_GATE_AUDIT.json
ogs_execution_returncode_zero,ogs_execution,required,pass,returncode=0,inversion_workflow/current_permeability_field/OGS_EXECUTION_STATUS.json
ogs_run_input_audit_accepts_inputs,run_input_snapshot,required,pass,status=run_inputs_ogs_accepted_with_meshio_submesh_warnings; error checks=[],inversion_workflow/current_permeability_field/OGS_RUN_INPUT_AUDIT.json
field_positive_definite,field,required,pass,cells=10239; positive=10239; non_positive=0,inversion_workflow/current_permeability_field/CURRENT_PERMEABILITY_FIELD_SUMMARY.json
fixed_porosity_support,field,required,pass,n_rd min/max=0.105/0.105,inversion_workflow/current_permeability_field/CURRENT_PERMEABILITY_FIELD_SUMMARY.json
