item_id,audit_class,status,active_report_relevance,source_locations,summary,current_resolution_or_evidence,remaining_action,linked_artifacts
homogeneity_vs_heterogeneity,resolved_formulation_comment,resolved_in_active_report,active_report,main.tex:97,The report now distinguishes the homogeneous exchanged XML model from run-local heterogeneous permeability fields.,"Resolved in the active report: heterogeneity is introduced only through run-local mesh-cell parameter fields, first for intrinsic permeability.",None for formulation; keep the distinction if report text is edited.,main.tex
relative_permeability_expression,resolved_formulation_comment,resolved_in_active_report,active_report,main.tex:103,The report now states the actual Van Genuchten relative-permeability function and fixed XML parameters.,"Resolved in the active report: RelativePermeabilityVanGenuchten is documented with S_lr=0.1, S_gr=0, m=0.45, and k_rel_min=1e-25.",None for formulation; keep the distinction if report text is edited.,main.tex
liquid_density_beta_storage,resolved_formulation_comment,resolved_in_active_report,active_report,main.tex:174,The report now explains the OGS liquid-density pressure/temperature dependence and composite storage term.,"Resolved in the active report: the linear density law, pressure/temperature derivatives, and capillary-storage term are spelled out.",None for formulation; keep the distinction if report text is edited.,main.tex
momentum_bishop_thermal_strain,resolved_formulation_comment,resolved_in_active_report,active_report,main.tex:200,"The report now states the configured Bishop law, Biot coefficient, and thermal strain placement.",Resolved in the active report: the compact momentum form is shown as valid only after the configured XML substitutions.,None for formulation; keep the distinction if report text is edited.,main.tex
heat_balance_porosity_saturation,resolved_formulation_comment,resolved_in_active_report,active_report,main.tex:221,The report now explains where porosity and saturation enter thermal storage/conductivity mixing.,"Resolved in the active report: n*S belongs to effective storage/conductivity mixing, while the advective term uses Darcy velocity.",None for formulation; keep the distinction if report text is edited.,main.tex
ert_transform_support,tracked_external_gate_request,drafted_pending_send; no_response_recorded,report_caveat_and_likelihood_activation_gate,measurement_chapter.tex:355,coordinate transform and exact support mask confirmed,"ERT-to-OGS transform and exact near-niche support mask remain assumed, not confirmed.",send_request_and_record_response_artifacts,inversion_workflow/external_gate_request_pack.md; inversion_workflow/external_gate_requests/bgr_ert_markus_furche_via_gesa_ziefle.md; inversion_workflow/processed_observations/ert_spatial_projection_operator.md; inversion_workflow/ert_support_sensitivity.md; cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip
ert_uncertainty,tracked_external_gate_request,drafted_pending_send; no_response_recorded,report_caveat_and_likelihood_activation_gate,measurement_chapter.tex:356,inversion-field uncertainty/correlation model assigned,No defensible ERT residual sigma/correlation model is available; pixels cannot be treated as independent rows.,send_request_and_record_response_artifacts,inversion_workflow/external_gate_request_pack.md; inversion_workflow/external_gate_requests/bgr_ert_markus_furche_via_gesa_ziefle.md; inversion_workflow/ert_candidate_discrimination.md; inversion_workflow/measurement_likelihood_model.md
hm_numeric_exports,tracked_external_gate_request,drafted_pending_send; no_response_recorded,report_caveat_and_likelihood_activation_gate,measurement_chapter.tex:1307,hard-residual-ready numeric time series located,"Local source scan found layout geometry, laser surface geometry, extracted levelling slide rows, and report/minute evidence, but no hard-residual-ready Geoscope time series, laser statistical interpretation product, or full levelling survey table.",send_request_and_record_response_artifacts,inversion_workflow/external_gate_request_pack.md; inversion_workflow/external_gate_requests/bgr_other_hm_exports_via_gesa_ziefle.md; inversion_workflow/processed_observations/other_hm_numeric_source_audit.md; cda_knowledge_base/measurements/other_hm_monitoring/source_files/
hm_uncertainty,tracked_external_gate_request,drafted_pending_send; no_response_recorded,report_caveat_and_likelihood_activation_gate,measurement_chapter.tex:1307,"units, epochs, reference conventions, uncertainty, and quality flags available",Required metadata for hard HM residual weights are absent from the current local bundle.,send_request_and_record_response_artifacts,inversion_workflow/external_gate_request_pack.md; inversion_workflow/external_gate_requests/bgr_other_hm_exports_via_gesa_ziefle.md; inversion_workflow/processed_observations/other_hm_missing_numeric_request.md; inversion_workflow/processed_observations/other_hm_numeric_source_audit.md
rh_active_curve_provenance,tracked_external_gate_request,drafted_pending_send; no_response_recorded,report_caveat_and_likelihood_activation_gate,measurement_chapter.tex:1271,active OGS pressure curve provenance confirmed,"Active boundary curve generation, sensor screening, time axis, constants, and extension policy are not confirmed.",send_request_and_record_response_artifacts,inversion_workflow/external_gate_request_pack.md; inversion_workflow/external_gate_requests/bgr_rh_boundary_curve_provenance_via_gesa_ziefle.md; inversion_workflow/processed_observations/rh_boundary_candidate_curves.md; inversion_workflow/processed_observations/rh_boundary_uncertainty.md
taupe_unit_calibration,tracked_external_gate_request,drafted_pending_send; no_response_recorded,report_caveat_and_likelihood_activation_gate,measurement_chapter.tex:1306,Taupe workbook unit and absolute calibration confirmed,"Taupe values are not confirmed as volumetric water-content percent, permittivity, or another ARDP-derived proxy.",send_request_and_record_response_artifacts,inversion_workflow/external_gate_request_pack.md; inversion_workflow/external_gate_requests/taupe_tdr_calibration_via_gesa_ziefle.md; inversion_workflow/processed_observations/taupe_tdr_semantics.md; cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx
perm_endpoint_geometry,tracked_external_gate_request,drafted_pending_send; no_response_recorded,report_caveat_and_likelihood_activation_gate,measurement_chapter.tex:1324,missing historical endpoint geometry for inactive permeability rows,Historical permeability endpoints are needed only if these older rows should enter the fit.,send_request_and_record_response_artifacts,inversion_workflow/external_gate_request_pack.md; inversion_workflow/external_gate_requests/bgr_historical_permeability_geometry_via_gesa_ziefle.md; inversion_workflow/processed_observations/permeability_missing_geometry_audit.md
