criterion_id,criterion,status,evidence,required_for_promotion,source_artifacts
P01_report_build,Report build is clean and has no active review markers.,pass,main.pdf pages=36; log clean=True; active report markers=0.,Keep the report build clean after every checklist or chapter edit.,main.pdf; main.log; main.blg; inversion_workflow/report_open_comment_audit.md
P03_measurement_traceability,"All collected measurement classes are catalogued, processed, and linked to report/model evidence.",pass,traceability status=measurement_report_traceability_audit_generated; observations=9; missing sections=0; manifest failures=0.,Refresh traceability after adding any new files or provider responses.,inversion_workflow/measurement_report_traceability_audit.md
P04_current_field_package,The current permeability field is packaged for inspection and rerun provenance.,pass,status=current_permeability_field_package_generated; run=local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000; cells=10239; positive-definite=10239; mesh=inversion_workflow/current_permeability_field/current_best_bulk_w_projections.vtu.,Keep the packaged field synchronized with the accepted active-objective incumbent.,inversion_workflow/current_permeability_field/CURRENT_PERMEABILITY_FIELD.md
P07_release_gate,Run-local parameter release gate remains clean for executed candidates.,pass,status=pass; audited runs=65; checks=1300; failures=0.,"Continue to reject silent release of porosity, retention, mechanical, boundary, or thermal fields.",inversion_workflow/inversion_release_gate_audit.md
P17_citation_package,"Citations, source locators, and unavailable/fulltext tracking are complete for current report claims.",pass,status=citation_locator_audit_generated; citation instances=63; unique keys=29; missing/weak locators=0; missing BibTeX=0.,Rerun citation audit after adding sources or changing measurement semantics.,Library/citation_locator_audit.md; Library/source_coverage_audit.md
P02_model_freeze,Frozen GESA model semantics are recovered and run-local edits are bounded.,pass_with_caveat,formulation checks=18; hard failures=0; process=THERMO_RICHARDS_MECHANICS; run-input status=run_inputs_ogs_accepted_with_meshio_submesh_warnings; OGS returncode=0.,Keep CTE and fixed-porosity caveats explicit; regenerate appended-data submeshes only if downstream meshio decoding is required.,MODEL_AUDIT.md; inversion_workflow/ogs_formulation_consistency_audit.md; inversion_workflow/runs/direct_fit_observation_run/OGS_RUN_INPUT_AUDIT.md
P06_active_sampler_pause,Further same-neighborhood active-objective OGS spending is not currently justified.,active_only_pass,"recommendation=pause_active_production_sampling; production rounds=5; P(improve)=0.01657360931530728; EI=0.0030884394147730476; reason=Five production handoff rounds have not improved the local-basis incumbent, the next batch has low diagnostic improvement probability, and every proposed batch LCB is worse than the incumbent; prioritize measurement-stream gates or a new field family before spending more OGS runs on the current smooth handoff..",Treat this only as an active-objective stopping point; it does not close gated all-measurement criteria.,inversion_workflow/runs/production_sampler_convergence/PRODUCTION_SAMPLER_DECISION.md
P05_active_objective_incumbent,The packaged field is the current active direct-permeability/raw-NMR incumbent.,active_only_pass,active decision=accept_as_current_active_objective_incumbent; active objective=3156.353066948979; active rank=1.0.,This is necessary but not sufficient; final promotion also requires stable accepted measurement semantics and closed gates.,inversion_workflow/current_field_selection_audit.md
P13_perm_endpoint_gate,Historical permeability endpoint geometry/provenance is closed.,blocked_external,"open blocker ids for this criterion=['perm_endpoint_geometry']; dashboard status=external_blocker_dashboard_generated_waiting_user_send_and_responses; unsent blockers=8; missing responses=8. support-conflict active/repeated/range>=2 cells=30/24/16; top conflict cell=4648 (BCD-A32 0.85-0.87 m, observed range=6.948847477552619); same-support lower-bound gap=0.0; current at lower bound=True; policy approvals=0/1; policy ready=False; same-support batch executable=False; next recommendation=pause_same_support_active_objective_ogs_until_likelihood_support_bounds_or_stream_gate_changes.","Obtain the missing endpoint traces/geometries, or record that the current projected rows are the only accepted direct-permeability support while keeping the likelihood/support policy explicit.",inversion_workflow/processed_observations/permeability_endpoint_geometry_request.md; inversion_workflow/external_blocker_dashboard.md; inversion_workflow/permeability_support_conflict_spatial_audit.md; inversion_workflow/permeability_support_lower_bound_audit.md; inversion_workflow/permeability_likelihood_policy_acceptance_record_template.md
P10_taupe_gate,Taupe/TDR unit/calibration and uncertainty gates are closed.,blocked_external,open blocker ids for this criterion=['taupe_unit_calibration']; dashboard status=external_blocker_dashboard_generated_waiting_user_send_and_responses; unsent blockers=8; missing responses=8.,Accept workbook units/calibration and grouped uncertainty before Taupe/TDR can select a final field.,inversion_workflow/taupe_tdr_trend_diagnostic.md; inversion_workflow/external_blocker_dashboard.md
