evidence_id,evidence_type,source_artifact,measurement_scope,evidence_text,model_use,readiness_or_status
active_curve_quantiles,generated_curve_semantics,rh_boundary_curve_semantics.csv; rh_measurement_semantics_summary.json,active OGS open-niche pressure curve,"Active curve has 845 rows, model-time date span 2019-09-18 to 2023-12-26, pressure quantiles min/p50/max -53.238/-23.116/-5.226 MPa, and implied RH min/p50/max 70.23/85.78/96.59 percent.","existing boundary condition, not a verified reconstruction",provenance_unverified
curve_below_clean_sensor_range,range_mismatch,rh_boundary_curve_semantics.csv,active curve inverted through Kelvin coefficient,772 of 845 active curve rows imply RH below the clean RH5/RH6 workbook minimum; this is the strongest signal that the active curve is not a direct reconstruction of the copied OT_RH5/OT_RH6 sheets.,provenance request trigger,mismatch_requires_external_confirmation
boundary_overlap_residual,boundary_audit_statistic,rh_measurement_semantics_summary.json; rh_boundary_curve_audit_summary.json,OT_RH5-8 Kelvin pressure versus active OGS curve,Compared rows=2280; later rows outside active curve=1948; excluded low-RH outliers=19; median/mean/max absolute residual=12.998/16.319/69.069 MPa.,boundary provenance audit,large_mismatch
curve_include_mapping,ogs_xml_include_audit,ogs_settings/08_curves.xml,open/closed niche boundary curve mapping,ogs_settings/08_curves.xml references active open curve: True; shifted open curve text present/commented: True; closed shifted curve included: True.,confirms which curve is active in the recovered setup,mapping_observed_confirmation_requested
kelvin_conversion_assumptions,conversion_assumption,rh_measurement_semantics_summary.json,RH-to-pressure conversion,"Local audit uses T=298.15 K, rho_l=1095.0 kg/m3, and p_l_gauge = rho_l * R * T / M_w * ln(RH_fraction).",local reproducibility convention pending external confirmation,constants_unverified_against_original_curve
sensor_RH5_summary,sensor_quality_summary,rh_measurement_semantics_sensor_summary.csv,RH5,RH5 rows=1042 from 2022-01-11 to 2025-09-04; RH min/median/max=94.08/94.75/95.99 percent; low outliers=0; >95 percent caution rows=387; preferred-range rows=655; recommended use: preferred RH boundary evidence.,sensor-selection and weighting evidence,quality_policy_requested
sensor_RH6_summary,sensor_quality_summary,rh_measurement_semantics_sensor_summary.csv,RH6,RH6 rows=1064 from 2021-12-16 to 2025-09-04; RH min/median/max=93.32/93.80/94.99 percent; low outliers=0; >95 percent caution rows=0; preferred-range rows=1064; recommended use: preferred RH boundary evidence.,sensor-selection and weighting evidence,quality_policy_requested
sensor_RH7_summary,sensor_quality_summary,rh_measurement_semantics_sensor_summary.csv,RH7,RH7 rows=1071 from 2021-12-16 to 2025-09-04; RH min/median/max=13.19/96.42/97.27 percent; low outliers=7; >95 percent caution rows=1055; preferred-range rows=9; recommended use: retain with stronger quality screening because low/suspicious values occur.,sensor-selection and weighting evidence,quality_policy_requested
sensor_RH8_summary,sensor_quality_summary,rh_measurement_semantics_sensor_summary.csv,RH8,RH8 rows=1070 from 2021-12-16 to 2025-09-04; RH min/median/max=13.20/95.48/96.22 percent; low outliers=12; >95 percent caution rows=1050; preferred-range rows=8; recommended use: retain with stronger quality screening because low/suspicious values occur.,sensor-selection and weighting evidence,quality_policy_requested
raw_source_workbooks,source_file_set,/home/ber0061/Repositories/gesa_mails/cda_knowledge_base/measurements/suction_relative_humidity/source_files/Location_suc.png; /home/ber0061/Repositories/gesa_mails/cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx; /home/ber0061/Repositories/gesa_mails/cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH6.xlsx; /home/ber0061/Repositories/gesa_mails/cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH7.xlsx; /home/ber0061/Repositories/gesa_mails/cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH8.xlsx,catalogued OT_RH source files,The local audit is based on the copied OT_RH workbook set and location figure.,defines the currently reproducible data basis,source_files_catalogued
