question_id,question_area,representative_question,resolution_status,current_answer,local_evidence,remaining_action,model_consequence,authoritative_artifacts,related_ids
Q01_report_formula_comments,Report formulation,Are collaborator/comment markers or formulation comments still open in the active report?,resolved_locally,No active report markers remain; 5 formulation comments are resolved in the active LaTeX sources.,"active_report_unresolved_marker_count=0; tracked_external_gate_count=7; active_open_item_ids=['ert_transform_support', 'ert_uncertainty', 'hm_numeric_exports', 'hm_uncertainty', 'rh_active_curve_provenance', 'taupe_unit_calibration', 'perm_endpoint_geometry', 'cte_value_provenance', 'nmr_trend_anomaly_default_promotion', 'perm_likelihood_policy_default']",Keep the gate/provenance items in readiness trackers rather than as unresolved LaTeX comments.,Report hygiene is not the limiting factor for final promotion.,inversion_workflow/report_open_comment_audit.md; main.tex; measurement_chapter.tex,report_open_comment_audit
Q02_sources_citations,Sources and citations,"Are all cited sources, fulltexts, and locators sufficiently traceable?",resolved_locally,All active citations have BibTeX entries and checkable locators; unavailable active fulltexts are tracked.,citation_instances=63; unique_keys=29; missing_or_weak_locators=0; missing_bib_entries=0; unavailable_missing_log=0,Only refresh if new cited sources are added.,Literature/source tracking does not block current readiness; scientific gates still do.,Library/citation_locator_audit.md; Library/source_coverage_audit.md; opalinus_clay.bib,citation_locator_audit
Q03_measurement_catalogue,Data location and catalogue,"Are measurement emails, transfers, zip contents, and copied source files catalogued?",resolved_locally,The local catalogue is traceable for all nine measurement groups; the known scanned Gmail/Thunderbird/TeamBeam scope has no missing CD-A/HERMES attachments.,traceability_status=measurement_report_traceability_audit_generated; observations=9; all_traceable=True; manifest_failures=0,Regenerate only after adding new local files or provider-response attachments.,The catalogue itself is not blocking final promotion; activation semantics are.,../cda_knowledge_base/measurements/README.md; inversion_workflow/measurement_report_traceability_audit.md,measurement_report_traceability_audit
Q04_model_baseline_projection,OGS model provenance,Which transferred OGS model is the baseline and can projected fields be read?,resolved_locally_with_frozen_model_caveat,The May 2025 transferred model remains the scanned-scope baseline; heterogeneous fields are introduced through run-local mesh-field replacements while the exchanged model stays frozen.,The projection workflow shows OGS can read k_i_rd and n_rd mesh-cell fields; the formulation and run-input audits record run-local substitutions without changing the source model.,Confirm only if Gesa/BGR provides a newer out-of-scope baseline.,Run-local heterogeneous permeability fitting is allowed; source XML edits remain out of scope.,inversion_workflow/ogs_formulation_consistency_audit.md; inversion_workflow/runs/direct_fit_observation_run/OGS_RUN_INPUT_AUDIT.md; GESA_model_original/projection_on_mesh_2025-09-05,"projection_workflow,ogs_formulation"
Q05_ert_transform_support,ERT processing,Which ERT-to-OGS transform and near-niche support mask should be used?,external_provider_response_required,do_not_include_in_final_objective_until_provider_response_or_explicit_exclusion_is_recorded,"ert_transform_support: fail - ERT-to-OGS transform and exact near-niche support mask remain assumed, not confirmed.",A reproducible ERT-to-OGS transform and accepted support mask can be encoded without freehand interpretation; the ERT spatial projection and support-sensitivity audits can be regenerated with no provisional-transform caveat.; The ERT likelihood can assign defensible row/group weights without treating dense VTK cells as independent observations.,ERT remains diagnostic until support geometry is accepted.,inversion_workflow/processed_observations/ert_spatial_projection_operator.md; inversion_workflow/ert_support_sensitivity.md; ../cda_knowledge_base/measurements/ert/source_files/provider_responses,"ert_transform_support,P09_ert_gate"
Q06_ert_uncertainty,ERT processing,What ERT uncertainty/correlation model should weight dense resistivity fields?,external_provider_response_required,do_not_include_in_final_objective_until_provider_response_or_explicit_exclusion_is_recorded,ert_uncertainty: fail - No defensible ERT residual sigma/correlation model is available; pixels cannot be treated as independent rows.,A reproducible ERT-to-OGS transform and accepted support mask can be encoded without freehand interpretation; the ERT spatial projection and support-sensitivity audits can be regenerated with no provisional-transform caveat.; The ERT likelihood can assign defensible row/group weights without treating dense VTK cells as independent observations.,Dense ERT VTK cells must not become independent final residual rows yet.,inversion_workflow/ert_candidate_discrimination.md; inversion_workflow/measurement_likelihood_model.md,"ert_uncertainty,P09_ert_gate"
Q07_taupe_units,Taupe/TDR,"Are Taupe workbook values calibrated water content, dielectric/permittivity, or a trend proxy?",external_provider_response_required,do_not_include_in_final_objective_until_provider_response_or_explicit_exclusion_is_recorded,"taupe_unit_calibration: fail - Taupe values are not confirmed as volumetric water-content percent, permittivity, or another ARDP-derived proxy.","The Taupe semantics audit can decide whether absolute Taupe values are water content, permittivity/proxy, or trend-only evidence.","Taupe/TDR remains a mapped trend diagnostic, not an absolute final water-content residual.",inversion_workflow/processed_observations/taupe_tdr_semantics.md; inversion_workflow/taupe_series_weight_sensitivity.md; ../cda_knowledge_base/measurements/taupe_tdr/source_files/provider_responses,"taupe_unit_calibration,P10_taupe_gate"
Q08_taupe_support_weights,Taupe/TDR,How should Taupe/TDR sensor support and grouped weights be handled?,internal_policy_after_calibration,A3/A4 mapped trend diagnostics are available; A7/A8 and series/group weighting stay excluded or diagnostic until support and calibration choices are accepted.,taupe_group_weights and taupe_support are warning-level method decisions in the gate-closure request table; the series-weight audit found multiple distinct per-series winners.,Choose series/group weighting and support mask after unit/calibration confirmation.,Taupe can influence final field selection only after calibration plus weighting policy are explicit.,inversion_workflow/taupe_series_weight_sensitivity.md; inversion_workflow/processed_observations/taupe_tdr_semantics.md,"taupe_group_weights,taupe_support,P10_taupe_gate"
Q09_rh_curve_provenance,RH/suction boundary,What is the provenance and processing chain for the active OGS pressure curve?,external_provider_response_required,do_not_include_in_final_objective_until_provider_response_or_explicit_exclusion_is_recorded,"rh_active_curve_provenance: fail - Active boundary curve generation, sensor screening, time axis, constants, and extension policy are not confirmed.",The active XML pressure curve can be regenerated or explained well enough that replacement curves/retention targets are no longer based on unknown provenance.,RH remains boundary-provenance/scenario evidence and does not replace the active curve yet.,inversion_workflow/processed_observations/rh_boundary_candidate_curves.md; inversion_workflow/processed_observations/rh_boundary_uncertainty.md; ../cda_knowledge_base/measurements/suction_relative_humidity/source_files/provider_responses,"rh_active_curve_provenance,P11_rh_gate"
Q10_rh_uncertainty_policy,RH/suction boundary,"Should RH enter as boundary forcing, retention validation, or calibration target?",internal_policy_with_provider_confirmation,Local RH-derived envelopes are quantified but not accepted as replacement forcing or a retention likelihood.,envelope dates=1064; overlap pressure-range p50=2.103967930926996,Select boundary/retention uncertainty policy only after active-curve provenance is resolved.,Retention and boundary parameters remain unreleased.,inversion_workflow/processed_observations/rh_boundary_uncertainty.md; inversion_workflow/processed_observations/rh_boundary_provenance_request.md,"rh_uncertainty,P11_rh_gate"
