check_id,category,status,report_claim,xml_evidence,implication,source_files
process_type_and_primary_variables,process,pass,"The model is an OGS TRM model with displacement, liquid pressure, and temperature as primary variables.","type=THERMO_RICHARDS_MECHANICS; variables=['displacement', 'pressure', 'temperature']",The report's primary variable list matches the process XML.,ogs_settings/01_processes_TRM.xml
gravity_specific_body_force_off,process,pass,"Gravity/body force is disabled, so Darcy velocity has no rho*g term.",specific_body_force=0 0,The no-gravity Darcy expression in the report is consistent with the XML.,ogs_settings/01_processes_TRM.xml
process_variable_orders_and_bcs,process_variables,pass,Displacement is a 2-component second-order variable; pressure and temperature are first-order scalar variables.,"displacement={'components': '2', 'order': '2', 'initial_condition': 'ic_displacement', 'boundary_conditions': [{'mesh': 'cd-a_left', 'type': 'Dirichlet', 'component': '0', 'parameter': 'bc_displacement'}, {'mesh': 'cd-a_right', 'type': 'Dirichlet', 'component': '0', 'parameter': 'bc_displacement'}, {'mesh': 'cd-a_top', 'type': 'Dirichlet', 'component': '1', 'parameter': 'bc_displacement'}, {'mesh': 'cd-a_bottom', 'type': 'Dirichlet', 'component': '1', 'parameter': 'bc_displacement'}]}; pressure={'components': '1', 'order': '1', 'initial_condition': 'ic_pressure', 'boundary_conditions': [{'mesh': 'cd-a_top', 'type': 'Dirichlet', 'component': '', 'parameter': 'bc_top_pressure'}, {'mesh': 'cd-a_niche4', 'type': 'Dirichlet', 'component': '', 'parameter': 'open_niche_seasonal'}]}; temperature={'components': '1', 'order': '1', 'initial_condition': 'ic_temperature', 'boundary_conditions': [{'mesh': 'bulk_all', 'type': 'Dirichlet', 'component': '0', 'parameter': 'bc_temperature_outside'}]}",The active finite-element variable orders and boundary-condition assignment are traceable.,ogs_settings/02_process_variables_TRM.xml
liquid_density_linear_temperature_pressure,aqueous_phase,pass,"Liquid density is a linear temperature- and pressure-dependent law, not a constant.","{""independent_variables"": {""liquid_phase_pressure"": {""reference_condition"": ""7.5e6"", ""slope"": ""3.2e-10""}, ""temperature"": {""reference_condition"": ""298.15"", ""slope"": ""-5E-4""}}, ""reference_value"": ""1095"", ""type"": ""Linear""}",The report's storage and thermal-coupling discussion should retain density derivatives.,ogs_settings/04_1_media_aqu_liq.xml
vapor_terms_absent_from_active_phase,aqueous_phase,pass,The active OGS TRM model is the no-vapor formulation.,active vapor-like properties=[],"Vapor-density, vapor-diffusion, and latent-heat terms must not be included as active equations.",ogs_settings/04_1_media_aqu_liq.xml
relative_permeability_van_genuchten,twophase,pass,"Relative permeability is fixed Van Genuchten with S_lr=0.1, S_gr=0, m=0.45, and k_rel_min=1e-25.","{'type': 'RelativePermeabilityVanGenuchten', 'parameter_name': '', 'residual_liquid_saturation': '0.1', 'residual_gas_saturation': '0', 'exponent': '0.45', 'minimum_relative_permeability_liquid': '1e-25', 'p_b': '', 'reference_value': ''}","The permeability fitting should alter intrinsic permeability, not the relative-permeability function.",ogs_settings/04_2_media_twophase.xml
saturation_van_genuchten_retention,twophase,pass,Retention/saturation is fixed Van Genuchten in the current permeability-focused workflow.,"{'type': 'SaturationVanGenuchten', 'parameter_name': '', 'residual_liquid_saturation': '0.1', 'residual_gas_saturation': '0', 'exponent': '0.45', 'minimum_relative_permeability_liquid': '', 'p_b': '10e6', 'reference_value': ''}",Retention parameters should stay gated unless an explicit release decision is recorded.,ogs_settings/04_2_media_twophase.xml
bishop_power_law_saturation,mechanics,pass,Bishop coefficient is saturation to power one.,"{'type': 'BishopsPowerLaw', 'parameter_name': '', 'residual_liquid_saturation': '', 'residual_gas_saturation': '', 'exponent': '1', 'minimum_relative_permeability_liquid': '', 'p_b': '', 'reference_value': ''}",The compact pore-stress term b(S) alpha p I becomes S p I only after XML substitutions.,ogs_settings/04_2_media_twophase.xml
linear_elastic_orthotropic,mechanics,pass,"The solid relation is orthotropic linear elasticity, not isotropic elasticity.","constitutive_relation_types=['LinearElasticOrthotropic', 'LinearElasticOrthotropic']",Report equations should keep the generalized Hooke-law representation.,ogs_settings/01_processes_TRM.xml; ogs_settings/03_parameters_TRM.xml
swelling_stress_active,mechanics,pass,Saturation-dependent swelling strain/stress is active.,"{'type': 'SaturationDependentSwelling', 'parameter_name': '', 'residual_liquid_saturation': '', 'residual_gas_saturation': '', 'exponent': '', 'minimum_relative_permeability_liquid': '', 'p_b': '', 'reference_value': ''}",The mechanical equation should not be presented as purely thermoelastic.,ogs_settings/04_media_TRM.xml
