stream,gate_id,gate_label,status,required_for_active_likelihood,evidence,blocker_or_caveat,authoritative_artifacts
ert_resistivity,ERT_OPERATOR,theta-to-resistivity operator and projection lookup generated,pass,True,direct-run compared rows=162800; compared output times=80,,ert_observation_operator.md; ert_spatial_projection_operator.md; ert_resistivity_diagnostic_summary.json
ert_resistivity,ERT_TRANSFORM_SUPPORT,coordinate transform and exact support mask confirmed,fail,True,"support variants=9; best mean support-rank run=broad_continuous_001_001_length_0p023m_shift_1p004; rank correlations vs default={'inner_annulus_1p15_1p30m': 0.4285714285714286, 'outer_annulus_1p30_1p50m': 0.6571428571428573, 'radius_le_1p25m': 0.4285714285714286, 'radius_le_1p2m': 0.6571428571428573, 'radius_le_1p35m': 0.48571428571428577, 'radius_le_1p3m': 0.4285714285714286, 'radius_le_1p45m': 1.0, 'radius_le_1p4m': 0.942857142857143}","ERT-to-OGS transform and exact near-niche support mask remain assumed, not confirmed.",ert_support_sensitivity_summary.json; ert_spatial_projection_operator.md
ert_resistivity,ERT_UNCERTAINTY,inversion-field uncertainty/correlation model assigned,fail,True,cross-run ERT MAE range=0.019635573360798686; no pixel/time covariance model is recorded,No defensible ERT residual sigma/correlation model is available; pixels cannot be treated as independent rows.,ert_candidate_discrimination_summary.json; measurement_likelihood_model.md
geometry_support,GEOM_LOOKUPS,measurement-to-mesh support lookups generated,pass,False,observation groups=9; state sample rows=37184,,measurement_mesh_lookup.csv; borehole_line_mesh_samples.csv
model_projection_inputs,RELEASE_GATE,run-local active parameter release gate passes,pass,False,release-gate status=pass; checks=1300; failures=0,,inversion_release_gate_audit.json; inversion_release_gate_audit.md
nmr_water_content,NMR_SAMPLED_OUTPUTS,sampled OGS theta outputs at usable target times,pass,True,state target rows=11490; active NMR objective rows=192,,state_observation_evaluation_summary.json; ogs_state_sampling_summary.json
nmr_water_content,NMR_BOUND_WATER,bound/interlayer-water bias quantified,warn,True,bound-water usable-row required-offset p95=0.04017850052068304; bias audit runs=66; rank correlation=0.6351529067946979,Raw absolute theta residuals remain conditional until a free-water/bound-water correction or anomaly residual is accepted.,nmr_bound_water_sensitivity_summary.json; nmr_candidate_bias_sensitivity_summary.json
other_hm_monitoring,HM_NUMERIC_EXPORTS,hard-residual-ready numeric time series located,fail,True,hard-ready request classes=0; zip numeric-candidate members=0,"Local source scan found layout geometry, laser surface geometry, extracted levelling slide rows, and report/minute evidence, but no hard-residual-ready Geoscope time series, laser statistical interpretation product, or full levelling survey table.",other_hm_numeric_source_audit_summary.json; other_hm_missing_numeric_request.md
other_hm_monitoring,HM_UNCERTAINTY,"units, epochs, reference conventions, uncertainty, and quality flags available",fail,True,"Do not assign hard HM residual weights until numeric exports include timestamps or survey epochs, units, support geometry, reference conventions, uncertainty/covariance, and quality/status flags.",Required metadata for hard HM residual weights are absent from the current local bundle.,other_hm_numeric_source_audit.md
other_hm_monitoring,HM_SUPPORT,layout geometry and qualitative targets catalogued,pass,False,support-ready request classes=6,,other_hm_monitoring.md; other_hm_numeric_source_audit_summary.json
permeability_pulse_tests,PERM_DATA,positive interpreted permeability rows and provenance,pass,True,target rows=204; processed observation tables total rows=18801,,permeability_observation_targets.csv; permeability_measurement_semantics.md
permeability_pulse_tests,PERM_SUPPORT,inside-mesh interval support for active rows,pass,True,mapped cell rows=102; current active objective rows=75,98 older permeability rows remain blocked by missing endpoint geometry,permeability_observation_cells.csv; permeability_missing_geometry_audit.md
permeability_pulse_tests,PERM_ERROR_MODEL,broad gas-pulse model-error scale,warn,True,current evaluator uses sigma=0.5 log10 units and duplicate-aware weights,Gas/slip/liquid-equivalent interpretation remains a tracked model-error caveat.,evaluate_permeability_targets.py; permeability_measurement_semantics.md
relative_humidity_suction,RH_KELVIN,Kelvin conversion and candidate curves generated,pass,True,candidate curves=6; preferred candidate=rh5_rh6_median,,rh_boundary_candidate_curve_summary.json; rh_measurement_semantics.md
relative_humidity_suction,RH_ACTIVE_CURVE_PROVENANCE,active OGS pressure curve provenance confirmed,fail,True,provenance request rows=6; active outside candidate envelope=575,"Active boundary curve generation, sensor screening, time axis, constants, and extension policy are not confirmed.",rh_boundary_provenance_request_summary.json; rh_boundary_uncertainty_summary.json
relative_humidity_suction,RH_UNCERTAINTY,boundary/retention uncertainty model accepted,fail,True,envelope dates=1064; overlap pressure-range p50=2.103967930926996,Local RH-derived envelope is quantified but not accepted as replacement forcing or retention likelihood.,rh_boundary_uncertainty_summary.json; rh_boundary_uncertainty.md
taupe_tdr,TAUPE_TREND_OPERATOR,trend operator and sampled OGS comparison generated,pass,True,compared rows=1860; compared series=12,,taupe_tdr_trend_diagnostic_summary.json; taupe_tdr_observation_operator.md
taupe_tdr,TAUPE_GROUP_WEIGHTS,series/group weighting and uncertainty model accepted,warn,True,series-weight runs=66; compared series=12; distinct per-series winners=8,Series-specific uncertainty and grouped weighting remain part of the calibration gate.,taupe_series_weight_sensitivity_summary.json
taupe_tdr,TAUPE_SUPPORT,all relevant Taupe sensors inside current mesh support,warn,True,uncompared/outside-support series=12,A7/A8 remain outside the current Niche-4 mesh support.,taupe_series_weight_sensitivity_summary.json; taupe_tdr_semantics.md
taupe_tdr,TAUPE_UNIT_CALIBRATION,Taupe workbook unit and absolute calibration confirmed,fail,True,absolute candidate conversions remain sanity checks; Topp physical rows are zero in current audit,"Taupe values are not confirmed as volumetric water-content percent, permittivity, or another ARDP-derived proxy.",taupe_tdr_semantics.md; measurement_likelihood_model.md
