item_id,audit_class,status,active_report_relevance,source_locations,summary,current_resolution_or_evidence,remaining_action,linked_artifacts
homogeneity_vs_heterogeneity,resolved_formulation_comment,resolved_in_active_report,active_report,main.tex,The report now distinguishes the homogeneous exchanged XML model from run-local heterogeneous permeability fields.,"Resolved in the active report: heterogeneity is introduced only through run-local mesh-cell parameter fields, first for intrinsic permeability.",None for formulation; keep the distinction if report text is edited.,main.tex
relative_permeability_expression,resolved_formulation_comment,resolved_in_active_report,active_report,main.tex,The report now states the actual Van Genuchten relative-permeability function and fixed XML parameters.,"Resolved in the active report: RelativePermeabilityVanGenuchten is documented with S_lr=0.1, S_gr=0, m=0.45, and k_rel_min=1e-25.",None for formulation; keep the distinction if report text is edited.,main.tex
liquid_density_beta_storage,resolved_formulation_comment,resolved_in_active_report,active_report,main.tex,The report now explains the OGS liquid-density pressure/temperature dependence and composite storage term.,"Resolved in the active report: the linear density law, pressure/temperature derivatives, and capillary-storage term are spelled out.",None for formulation; keep the distinction if report text is edited.,main.tex
momentum_bishop_thermal_strain,resolved_formulation_comment,resolved_in_active_report,active_report,main.tex,"The report now states the configured Bishop law, Biot coefficient, and thermal strain placement.",Resolved in the active report: the compact momentum form is shown as valid only after the configured XML substitutions.,None for formulation; keep the distinction if report text is edited.,main.tex
heat_balance_porosity_saturation,resolved_formulation_comment,resolved_in_active_report,active_report,main.tex,The report now explains where porosity and saturation enter thermal storage/conductivity mixing.,"Resolved in the active report: n*S belongs to effective storage/conductivity mixing, while the advective term uses Darcy velocity.",None for formulation; keep the distinction if report text is edited.,main.tex
cte_value_provenance,tracked_model_provenance_confirmation,open_confirmation_required,report_caveat_or_operational_context,main.tex; measurement_chapter.tex; WORK_STATUS.md; inversion_workflow/README.md,"The active CTE value is tracked as an implausible thermal-expansivity/provenance issue, not as a fit parameter.",Thermal-expansivity audit says the XML value must remain fixed and uninterpreted until Gesa/BGR confirm the intended value or inactive status. A dedicated confirmation request package now records the exact outbound question and contact route.,Send the CTE confirmation request and record the provider response before releasing thermal or retention/boundary parameters.,inversion_workflow/thermal_expansivity_parameter_audit.md; inversion_workflow/cte_confirmation_request.md; WORK_STATUS.md
nmr_trend_anomaly_default_promotion,tracked_internal_policy,local_policy_recorded_not_promoted_default,report_caveat_or_operational_context,main.tex; measurement_chapter.tex; WORK_STATUS.md; inversion_workflow/README.md,The NMR trend/anomaly residual is implemented and preferred provisionally; local policy keeps it explicit/scenario-only for the current report state.,Internal policy is recorded: do not promote trend/anomaly NMR to the default objective for the current report state. Use the explicit nmr_within_label_trend_anomaly mode and scenario audits when that residual definition is needed.,No current-report action; re-open only if the modelling team wants to change the default objective semantics.,inversion_workflow/nmr_objective_decision.md; inversion_workflow/nmr_trend_anomaly_active_objective.md; inversion_workflow/internal_gate_decision_register.md
perm_likelihood_policy_default,tracked_internal_policy,local_policy_recorded_not_promoted_default,report_caveat_or_operational_context,main.tex; measurement_chapter.tex; WORK_STATUS.md; inversion_workflow/README.md,The direct-permeability robust/support-cell likelihood choice is explicit and not promoted as a silent default change.,"Internal policy is recorded: keep the duplicate-weighted rowwise Gaussian direct-permeability objective as the current report default, and treat robust tails, support-cell aggregation, and scalar-range outlier handling as explicit scenario/decision options.","Before more active-objective OGS spending, record whether the rowwise Gaussian policy remains accepted with a new parameterization or whether a robust/aggregated likelihood scenario should become the active selection policy.",inversion_workflow/permeability_likelihood_policy_audit.md; inversion_workflow/permeability_likelihood_decision_request.md; inversion_workflow/internal_gate_decision_register.md
local_ogs_runtime_provenance,tracked_operational_caveat,container_execution_available_local_ogs_absent,report_caveat_or_operational_context,main.tex; measurement_chapter.tex; WORK_STATUS.md; inversion_workflow/README.md,"The local host lacks a native ogs executable, while the collected SIF is executable through Dockerized Apptainer.","Not an active report comment: complete runs exist through the recorded Dockerized-Apptainer backend, but native OGS remains absent.",Keep the backend recorded for reproducibility; install native OGS only if the workflow requires it.,inversion_workflow/OGS_ENVIRONMENT_AUDIT.md; inversion_workflow/scripts/run_ogs_model.py
latex_listing_commentstyle,false_positive_search_hit,not_active_report_comment,none,main.tex; WORK_STATUS.md; long_report.tex; inversion_workflow/processed_observations/other_hm_numeric_source_evidence.csv,The LaTeX listings style contains the word commentstyle; it is not a reviewer comment.,Classified as a false positive for the active report open-comment scan.,No report action.,main.tex
work_status_placeholder_scan_note,false_positive_search_hit,not_active_report_comment,none,main.tex; WORK_STATUS.md; long_report.tex; inversion_workflow/processed_observations/other_hm_numeric_source_evidence.csv,WORK_STATUS records that placeholder markers were checked; it is not itself an unresolved placeholder.,Classified as a false positive for the active report open-comment scan.,No report action.,WORK_STATUS.md
source_text_todos_external_content,false_positive_search_hit,not_active_report_comment,none,main.tex; WORK_STATUS.md; long_report.tex; inversion_workflow/processed_observations/other_hm_numeric_source_evidence.csv,The remaining TODO-like text is source/extracted-content vocabulary outside the active report.,Classified as a false positive for the active report open-comment scan.,No report action.,inversion_workflow/processed_observations/other_hm_numeric_source_evidence.csv
legacy_long_report_not_build_target,false_positive_search_hit,not_active_report_comment,none,main.tex; WORK_STATUS.md; long_report.tex; inversion_workflow/processed_observations/other_hm_numeric_source_evidence.csv,long_report.tex is a legacy/source file; main.tex builds the active report and only inputs measurement_chapter.tex.,Classified as a false positive for the active report open-comment scan.,No report action.,long_report.tex; main.tex
